benchmark,control,n_levels,baseline_runtime_s,baseline_board_J,verdict,best_dE_pct,worst_dt_pct,curve_pairs
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,8,7.941512118,13898.5,HARMFUL,-2.842033312947445,25.450828317932682,lit_5500W:dE=0.4%/dt=-0.2% | lit_5000W:dE=0.2%/dt=-0.4% | lit_4500W:dE=0.3%/dt=-0.3% | lit_4000W:dE=-0.9%/dt=-0.2% | lit_3500W:dE=-0.7%/dt=-0.4% | lit_3000W:dE=1.7%/dt=-0.2% | lit_2500W:dE=-2.8%/dt=-2.1% | lit_2000W:dE=-2.0%/dt=+25.5%
cpu-dgemm,BOARD_POWER_TIME_WINDOW_CONTROL,2,7.90823712,13984.0,NEGLIGIBLE,2.2168192219679694,1.8471647888575138,rb_half:dE=3.0%/dt=+1.6% | rb_double:dE=2.2%/dt=+1.8%
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,7,7.968473793,14261.0,HARMFUL,-11.927634808218212,102.19513238725413,lit_1_0GHz:dE=55.6%/dt=+102.2% | lit_1_2GHz:dE=33.1%/dt=+71.5% | lit_1_6GHz:dE=1.5%/dt=+30.9% | lit_2_0GHz:dE=-9.7%/dt=+7.7% | lit_2_5GHz:dE=-11.9%/dt=-0.6% | lit_3_0GHz:dE=-7.9%/dt=-1.2% | lit_3_5GHz:dE=-1.0%/dt=-0.1%
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,8,7.968606148,14242.0,HARMFUL,-2.7383794410897333,670.3961360345048,tdp_100:dE=-2.7%/dt=-1.7% | tdp_90:dE=20.4%/dt=+16.3% | tdp_80:dE=51.8%/dt=+42.0% | tdp_70:dE=103.6%/dt=+85.4% | tdp_60:dE=203.0%/dt=+171.0% | tdp_50:dE=729.4%/dt=+613.0% | tdp_40:dE=493.2%/dt=+668.7% | tdp_30:dE=488.4%/dt=+670.4%
cpu-dgemm,CPU_POWER_TIME_WINDOW_CONTROL,2,8.0210342985,14333.0,USEFUL_MILD,-0.9767669015558478,2.066646293122054,rb_half:dE=2.3%/dt=+2.1% | rb_double:dE=-1.0%/dt=-0.5%
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,5,7.7592354005,13080.0,USEFUL_THRESHOLD,-16.284403669724767,-0.28711320574917876,lit_0_8GHz:dE=-16.3%/dt=-5.1% | lit_1_2GHz:dE=-11.3%/dt=-5.7% | lit_1_6GHz:dE=-3.4%/dt=-2.7% | lit_2_0GHz:dE=1.7%/dt=-0.3% | lit_2_3GHz:dE=2.0%/dt=-0.8%
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,8,7.920721736,13907.0,USEFUL_MILD,-1.8479902207521381,1.285918201583458,rb_100:dE=0.3%/dt=+0.0% | rb_90:dE=-1.8%/dt=-1.6% | rb_80:dE=1.5%/dt=+1.3% | rb_70:dE=0.5%/dt=+0.3% | rb_60:dE=0.8%/dt=+0.5% | rb_50:dE=1.9%/dt=+0.4% | rb_40:dE=1.7%/dt=+0.2% | rb_30:dE=1.0%/dt=+0.1%
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,7,7.829838651999999,13697.5,USEFUL_THRESHOLD,-13.491513049826608,1.5457911379704425,lit_0_4GHz:dE=-13.5%/dt=+0.0% | lit_0_6GHz:dE=-9.5%/dt=+1.2% | lit_0_8GHz:dE=-7.8%/dt=+1.5% | lit_1_0GHz:dE=-5.7%/dt=+1.5% | lit_1_2GHz:dE=-5.9%/dt=+0.9% | lit_1_4GHz:dE=-6.0%/dt=-0.8% | lit_1_6GHz:dE=-5.9%/dt=+1.5%
cpu-dgemm,GPU_POWER_TIME_WINDOW_CONTROL,2,8.0925744695,14523.0,USEFUL_MILD,-2.916064174068722,-1.122401453855415,rb_half:dE=-2.9%/dt=-2.2% | rb_double:dE=-2.1%/dt=-1.1%
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,7,7.8746903585000005,13958.0,USEFUL_THRESHOLD,-10.553087834933372,1.9926734938932933,lit_0_0:dE=2.0%/dt=+1.9% | lit_0_2:dE=1.2%/dt=+1.3% | lit_0_4:dE=2.9%/dt=+1.7% | lit_0_5:dE=2.5%/dt=+2.0% | lit_0_6:dE=0.3%/dt=+1.4% | lit_0_8:dE=-6.3%/dt=+0.6% | lit_1_0:dE=-10.6%/dt=+1.2%
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,8,14.492793540000001,46847.5,HARMFUL,-17.04893537542025,272.065164118801,lit_5500W:dE=-1.4%/dt=-0.3% | lit_5000W:dE=-1.4%/dt=-0.4% | lit_4500W:dE=-1.5%/dt=-0.4% | lit_4000W:dE=-2.2%/dt=-0.2% | lit_3500W:dE=-11.9%/dt=+17.9% | lit_3000W:dE=-17.0%/dt=+43.8% | lit_2500W:dE=1.9%/dt=+85.4% | lit_2000W:dE=103.8%/dt=+272.1%
