benchmark,combo_label,block,cpu_level,other_level,n,baseline_E_J,cpu_only_dE_pct,other_only_dE_pct,predicted_dE_pct,measured_dE_pct,residual_dE_pct,predicted_dt_pct,measured_dt_pct,residual_dt_pct,status
dgemm-gpu,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,lit_1_0GHz,lit_0_8GHz,150,43509,-34.5,-6.0,-40.5,-34.8,+5.7,-0.1,+0.1,+0.2,ok
dgemm-gpu,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,lit_1_0GHz,lit_1_6GHz,150,43509,-34.5,-3.6,-38.2,-35.3,+2.9,-0.3,-0.0,+0.3,ok
dgemm-gpu,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,lit_1_0GHz,lit_2_3GHz,139,43509,-34.5,-0.4,-34.9,-35.2,-0.3,-0.3,-0.0,+0.3,ok
dgemm-gpu,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,lit_2_0GHz,lit_0_8GHz,102,43509,-8.7,-6.0,-14.7,-15.5,-0.8,+0.2,-0.1,-0.3,ok
dgemm-gpu,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,lit_2_0GHz,lit_1_6GHz,90,43509,-8.7,-3.6,-12.4,-12.0,+0.3,+0.0,+0.0,+0.0,ok
dgemm-gpu,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,lit_2_0GHz,lit_2_3GHz,90,43509,-8.7,-0.4,-9.1,-9.5,-0.5,-0.0,-0.0,-0.0,ok
dgemm-gpu,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,lit_3_5GHz,lit_0_8GHz,90,43509,-0.1,-6.0,-6.1,-6.9,-0.8,+0.0,-0.1,-0.1,ok
dgemm-gpu,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,lit_3_5GHz,lit_1_6GHz,90,43509,-0.1,-3.6,-3.7,-4.3,-0.6,-0.1,-0.1,+0.0,ok
dgemm-gpu,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,lit_3_5GHz,lit_2_3GHz,90,43509,-0.1,-0.4,-0.5,-1.0,-0.5,-0.1,-0.0,+0.1,ok
gpu-bursty-idle,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,lit_1_0GHz,lit_0_4GHz,60,37280,-37.0,-29.6,-66.6,-50.8,+15.8,+0.3,+0.3,+0.0,ok
gpu-bursty-idle,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_0GHz,60,37280,-37.0,-27.0,-64.0,-52.1,+11.9,+0.3,+0.3,+0.0,ok
gpu-bursty-idle,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_6GHz,60,37280,-37.0,-20.4,-57.4,-50.9,+6.6,+0.3,+0.3,+0.0,ok
gpu-bursty-idle,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,lit_2_0GHz,lit_0_4GHz,60,37280,-9.2,-29.6,-38.8,-33.5,+5.3,+0.1,+0.1,+0.0,ok
gpu-bursty-idle,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_0GHz,60,37280,-9.2,-27.0,-36.2,-31.2,+5.0,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_6GHz,60,37280,-9.2,-20.4,-29.6,-26.5,+3.1,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,lit_3_5GHz,lit_0_4GHz,60,37280,-0.0,-29.6,-29.6,-27.6,+2.1,+0.1,+0.1,-0.0,ok
gpu-bursty-idle,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_0GHz,60,37280,-0.0,-27.0,-27.0,-24.0,+3.1,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_6GHz,60,37280,-0.0,-20.4,-20.5,-16.1,+4.3,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,lit_1_0GHz,lit_0_8GHz,150,37280,-37.0,-7.6,-44.6,-37.1,+7.5,+0.2,+0.2,-0.0,ok
gpu-bursty-idle,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,lit_1_0GHz,lit_1_6GHz,150,37280,-37.0,-4.1,-41.1,-37.2,+3.9,+0.2,+0.2,-0.0,ok
gpu-bursty-idle,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,lit_1_0GHz,lit_2_3GHz,149,37280,-37.0,-0.0,-37.0,-37.3,-0.3,+0.2,+0.2,+0.0,ok
gpu-bursty-idle,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,lit_2_0GHz,lit_0_8GHz,132,37280,-9.2,-7.6,-16.7,-17.6,-0.9,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,lit_2_0GHz,lit_1_6GHz,109,37280,-9.2,-4.1,-13.3,-13.2,+0.1,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,lit_2_0GHz,lit_2_3GHz,91,37280,-9.2,-0.0,-9.2,-9.7,-0.6,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,lit_3_5GHz,lit_0_8GHz,90,37280,-0.0,-7.6,-7.6,-8.7,-1.1,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,lit_3_5GHz,lit_1_6GHz,90,37280,-0.0,-4.1,-4.1,-5.0,-0.8,+0.0,+0.0,+0.0,ok
gpu-bursty-idle,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,lit_3_5GHz,lit_2_3GHz,90,37280,-0.0,-0.0,-0.0,-0.8,-0.8,-0.0,+0.0,+0.0,ok
mpi-idle-wait,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,lit_1_0GHz,lit_0_4GHz,60,12630,-64.4,-11.9,-76.3,-68.0,+8.3,+0.2,+0.2,+0.0,ok
