benchmark,combo_label,block,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
gpu-bursty-idle,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,60,15.0238,28346.76,15.0226,29317.69,3346.10
gpu-bursty-idle,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,60,15.0204,31261.47,15.0199,31575.65,2444.96
gpu-bursty-idle,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,150,15.0535,23458.61,15.0536,23657.60,685.08
gpu-bursty-idle,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,150,15.0535,23396.38,15.0537,23360.61,357.69
gpu-bursty-idle,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,149,15.0534,23390.92,15.0534,23335.75,356.03
gpu-bursty-idle,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,132,15.0201,30722.31,15.0201,30697.25,303.84
gpu-bursty-idle,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,109,15.0188,32359.54,15.0187,32360.61,288.75
gpu-bursty-idle,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,91,15.0184,33649.98,15.0184,33633.27,259.69
gpu-bursty-idle,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,90,15.0198,34029.47,15.0199,34023.35,286.72
gpu-bursty-idle,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,90,15.0184,35432.39,15.0184,35429.20,282.08
gpu-bursty-idle,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,90,15.0180,36993.72,15.0179,36955.44,295.10
gpu-bursty-idle,D_gpu0.4_pf0,D_gpu_x_pf_corners,90,15.0313,32390.17,15.0287,31321.71,3594.32
gpu-bursty-idle,D_gpu0.4_pf1,D_gpu_x_pf_corners,89,15.0326,25321.28,15.0317,25559.87,1436.44
gpu-bursty-idle,D_gpu1.6_pf0,D_gpu_x_pf_corners,82,15.0202,31183.67,15.0199,31291.47,1863.51
gpu-bursty-idle,D_gpu1.6_pf1,D_gpu_x_pf_corners,67,15.0212,27412.55,15.0211,27539.07,703.36
gpu-bursty-idle,E_cpu1.0_pl175,E_cpu_x_cpu_pl_corners,296,15.0534,23295.59,15.0535,23290.47,358.87
gpu-bursty-idle,E_cpu1.0_pl_default,E_cpu_x_cpu_pl_corners,308,15.0535,23501.24,15.0536,23539.46,384.30
gpu-bursty-idle,E_cpu3.5_pl_default,E_cpu_x_cpu_pl_corners,104,15.0180,37030.47,15.0180,37057.87,321.15
mpi-idle-wait,A0_all_max,A_agent_arms,80,7.5084,12630.43,7.5084,12626.58,117.67
mpi-idle-wait,A1_memory_bound_save,A_agent_arms,80,7.5228,4132.59,7.5229,4150.91,277.24
mpi-idle-wait,A2_gpu_compute_max,A_agent_arms,80,7.5083,8332.89,7.5086,8318.28,130.41
mpi-idle-wait,A3_cpu_compute_uncore_save,A_agent_arms,80,7.5086,10238.04,7.5086,10277.04,359.06
mpi-idle-wait,A4_comm_wait_save,A_agent_arms,80,7.5230,3763.05,7.5230,3797.25,256.23
mpi-idle-wait,A5_comm_collective_safe,A_agent_arms,80,7.5084,11011.24,7.5085,11006.40,385.96
mpi-idle-wait,A6_bursty_gpu_idle,A_agent_arms,74,7.5144,6946.41,7.5145,6947.18,314.35
mpi-idle-wait,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,60,7.5230,4041.73,7.5231,4111.95,416.50
mpi-idle-wait,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,60,7.5229,3903.97,7.5231,3878.24,322.95
mpi-idle-wait,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,60,7.5228,4015.35,7.5229,3969.05,263.73
mpi-idle-wait,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,60,7.5090,8781.52,7.5087,8829.81,589.10
mpi-idle-wait,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,60,7.5090,9030.09,7.5088,9060.56,461.69
mpi-idle-wait,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,60,7.5091,9237.02,7.5087,9284.92,400.71
mpi-idle-wait,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,60,7.5084,10721.39,7.5084,10709.98,674.83
mpi-idle-wait,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,60,7.5084,10884.15,7.5085,10933.17,585.97
mpi-idle-wait,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,60,7.5084,11153.83,7.5084,11124.18,506.61
mpi-idle-wait,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,150,7.5228,4572.03,7.5229,4633.62,337.28
mpi-idle-wait,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,150,7.5228,4493.79,7.5229,4472.92,217.51
mpi-idle-wait,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,150,7.5227,4456.05,7.5229,4456.38,236.09
mpi-idle-wait,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,148,7.5087,9326.88,7.5093,9303.41,170.29
mpi-idle-wait,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,122,7.5086,9925.47,7.5087,9916.36,108.56
mpi-idle-wait,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,100,7.5088,10421.75,7.5086,10428.18,135.37
mpi-idle-wait,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,91,7.5089,11449.14,7.5088,11439.72,142.52
mpi-idle-wait,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,90,7.5085,12018.65,7.5086,11999.01,126.18
mpi-idle-wait,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,90,7.5084,12624.14,7.5085,12622.92,131.28
mpi-idle-wait,D_gpu0.4_pf0,D_gpu_x_pf_corners,90,7.5084,12185.52,7.5084,12060.17,592.67
mpi-idle-wait,D_gpu0.4_pf1,D_gpu_x_pf_corners,90,7.5084,9876.70,7.5084,9848.27,405.96
mpi-idle-wait,D_gpu1.6_pf0,D_gpu_x_pf_corners,90,7.5084,11015.39,7.5084,11041.82,609.22
mpi-idle-wait,D_gpu1.6_pf1,D_gpu_x_pf_corners,90,7.5084,10310.61,7.5084,10324.01,257.16
mpi-idle-wait,E_cpu1.0_pl175,E_cpu_x_cpu_pl_corners,300,7.5229,4470.37,7.5229,4474.12,228.68
mpi-idle-wait,E_cpu1.0_pl_default,E_cpu_x_cpu_pl_corners,349,7.5228,4547.37,7.5229,4565.43,260.40
mpi-idle-wait,E_cpu3.5_pl175,E_cpu_x_cpu_pl_corners,3,7.5263,10507.92,7.5271,10711.15,352.68
mpi-idle-wait,E_cpu3.5_pl_default,E_cpu_x_cpu_pl_corners,151,7.5084,12661.93,7.5084,12648.51,108.99
osu,A0_all_max,A_agent_arms,80,9.5525,19228.23,9.5550,19246.12,224.06
osu,A1_memory_bound_save,A_agent_arms,80,29.4841,48692.38,29.4677,48801.69,2220.15
osu,A2_gpu_compute_max,A_agent_arms,80,14.8556,23315.72,14.8675,23346.95,320.94
osu,A3_cpu_compute_uncore_save,A_agent_arms,80,12.4703,20834.56,12.4635,20859.85,941.25
osu,A4_comm_wait_save,A_agent_arms,80,29.4781,44866.16,30.6446,47041.56,6982.56
osu,A5_comm_collective_safe,A_agent_arms,80,9.5486,16479.73,9.5532,16586.13,683.73
osu,A6_bursty_gpu_idle,A_agent_arms,46,21.7515,33931.82,21.7887,34205.59,1503.24
osu,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,60,29.4287,45407.63,29.4134,45267.55,3243.26
osu,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,60,29.3449,45545.20,29.3900,45678.03,2732.72
osu,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,60,29.4239,46778.80,29.4240,46556.19,2496.35
osu,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,60,13.6291,22522.74,13.6392,22586.94,1535.46
osu,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,60,13.6697,23244.28,13.6582,23205.30,1217.76
osu,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,60,13.6306,23655.30,13.6337,23652.51,970.04
osu,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,60,9.5486,16421.22,9.5541,16412.69,1114.08
osu,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,60,9.5539,16729.95,9.5591,16777.87,918.97
osu,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,60,9.5723,17083.11,9.5720,17076.35,840.62
osu,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,150,29.4306,52884.17,29.4257,52916.84,566.11
osu,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,150,29.4055,52816.52,29.4046,52759.04,519.99
osu,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,136,29.4209,52766.32,29.4126,52766.32,506.94
osu,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,107,19.3597,36304.70,19.3129,36299.90,421.47
osu,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,90,14.8705,27810.25,14.8557,27776.03,277.77
osu,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,90,13.6341,26336.46,13.6334,26320.55,292.62
osu,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,90,15.9768,31338.15,15.9371,31374.93,400.89
osu,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,90,10.9367,21360.29,10.9372,21331.81,255.15
osu,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,89,9.5368,19186.08,9.5484,19196.11,189.17
osu,D_gpu0.4_pf0,D_gpu_x_pf_corners,79,9.5453,16889.96,9.5532,17082.55,1232.09
osu,D_gpu0.4_pf1,D_gpu_x_pf_corners,69,9.5711,15359.30,9.5665,15217.64,581.05
osu,D_gpu1.6_pf0,D_gpu_x_pf_corners,55,9.5496,17072.64,9.5599,16798.96,791.28
osu,D_gpu1.6_pf1,D_gpu_x_pf_corners,37,9.5412,15955.54,9.5501,15902.07,301.24
osu,E_cpu1.0_pl175,E_cpu_x_cpu_pl_corners,282,29.4644,53008.09,30.0287,54213.71,3967.81
osu,E_cpu1.0_pl_default,E_cpu_x_cpu_pl_corners,302,29.4454,53108.38,29.4382,53099.33,599.17
osu,E_cpu3.5_pl_default,E_cpu_x_cpu_pl_corners,32,9.5912,19362.33,9.5790,19336.60,239.15
stream,A0_all_max,A_agent_arms,80,9.9482,11112.85,9.9467,11097.53,455.19
stream,A1_memory_bound_save,A_agent_arms,80,9.9793,3436.55,9.9780,3433.04,298.24
stream,A2_gpu_compute_max,A_agent_arms,80,10.1137,9737.28,10.1081,9764.36,186.67
stream,A3_cpu_compute_uncore_save,A_agent_arms,80,11.1057,13064.44,11.0842,13113.54,527.07
stream,A5_comm_collective_safe,A_agent_arms,80,9.9589,9605.40,9.9535,9613.58,590.39
stream,A6_bursty_gpu_idle,A_agent_arms,80,10.1739,7942.57,10.1767,7954.23,387.30
stream,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,60,9.9305,3733.60,9.9316,3672.26,422.76
stream,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,60,9.9727,3434.42,10.1711,3763.62,1135.33
stream,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,60,9.9591,3412.02,9.9778,3450.17,291.31
stream,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,60,9.9489,9736.59,9.9663,9806.49,551.01
stream,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,60,9.9246,9962.95,9.9284,10014.09,525.77
stream,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,60,9.9409,10181.24,9.9395,10116.20,406.21
stream,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,60,9.9223,9813.20,9.9305,9947.04,702.91
stream,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,60,9.9308,9907.08,9.9340,10051.94,583.10
stream,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,60,9.9288,10207.19,9.9295,10227.53,563.02
stream,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,150,15.7684,14197.78,15.7311,14230.94,508.77
stream,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,150,10.2539,3934.85,10.2530,3922.65,310.26
stream,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,150,9.9530,3365.59,9.9565,3384.32,349.75
stream,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,147,15.6548,21473.82,15.6504,21492.67,452.17
stream,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,120,10.0985,11040.03,10.0951,11051.68,286.42
stream,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,96,9.9290,10555.77,9.9285,10487.24,454.31
stream,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,90,15.5908,23420.15,15.5903,23376.82,374.91
stream,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,90,10.0604,12446.11,10.0503,12461.41,266.64
stream,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,90,9.9111,10684.40,9.9131,10665.60,513.40
stream,D_gpu0.4_pf0,D_gpu_x_pf_corners,90,9.9141,9743.80,9.9150,9679.35,579.10
stream,D_gpu0.4_pf1,D_gpu_x_pf_corners,90,9.9086,8228.07,9.9159,8266.87,417.18
stream,D_gpu1.6_pf0,D_gpu_x_pf_corners,90,9.9075,9891.53,9.9138,9833.91,531.72
stream,D_gpu1.6_pf1,D_gpu_x_pf_corners,90,9.9128,9189.06,9.9166,9195.64,427.57
stream,E_cpu1.0_pl_default,E_cpu_x_cpu_pl_corners,325,9.9771,3600.62,9.9838,3613.44,382.00
