benchmark,knob,level,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,default,50,23.2313,47710.80,23.5397,48679.32,3410.58
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_100,50,23.3849,47997.02,23.7412,49214.89,4450.12
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_30,50,184.3128,322200.27,184.3079,321629.51,6599.98
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_40,50,184.1924,322245.71,184.2628,321764.46,6649.06
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_50,50,173.1728,340600.68,174.7704,342849.94,15802.07
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_60,50,63.9522,128468.21,64.7052,128504.67,13162.30
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_70,50,43.3420,88000.59,43.9938,89188.86,7545.22
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_80,50,32.7966,67085.93,33.7435,69315.50,7119.88
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_90,50,26.8429,55483.30,27.4744,56649.02,5709.04
cpu-dgemm,CPU_POWER_TIME_WINDOW_CONTROL,default,50,23.2157,48477.63,23.8245,49386.72,4133.51
cpu-dgemm,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,23.7630,49355.35,23.8932,49626.78,3701.25
cpu-dgemm,CPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,23.4604,49102.17,23.9218,49628.50,4083.05
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,default,50,23.2682,47396.40,23.5953,48419.03,3658.64
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,21.9631,43910.03,22.1820,43918.99,3526.53
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,22.9374,45979.59,23.5708,47418.11,5880.58
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,22.9676,46743.83,23.2660,47342.36,2998.88
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,22.8368,46567.35,23.1082,47311.25,2936.93
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_3GHz,50,23.2560,47892.79,23.6075,48793.25,3456.29
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,default,50,23.3738,48726.56,23.7989,49377.36,3898.82
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_100,50,23.3185,48244.70,23.5311,48753.74,3667.49
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_30,50,23.4327,49142.62,23.8917,49674.22,4473.79
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_40,50,23.8156,49481.95,24.0690,50070.79,4823.86
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_50,50,23.3900,48621.09,23.6897,49140.58,3987.32
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_60,50,23.3910,48391.47,23.8125,49440.44,3838.64
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_70,50,23.5606,49349.56,23.8762,49562.46,3405.30
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_80,50,23.5379,49084.50,23.8572,49582.61,4359.57
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_90,50,23.3713,48804.83,23.6310,48988.79,3973.98
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,default,50,23.3171,48171.37,23.6179,48813.56,3409.99
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,50,23.3017,42038.68,23.8812,43124.70,4091.78
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,50,23.3617,42489.89,23.9715,43608.83,3864.59
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,23.4007,42678.44,23.8557,43685.80,3859.82
