benchmark,knob,level,scaling_n,prod_n,scaling_dE_pct,prod_dE_pct,delta_dE_pct,scaling_dt_pct,prod_dt_pct,delta_dt_pct
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,-11.6,-5.3,+6.3,-5.7,-1.7,+4.0
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,-2.7,-3.7,-1.0,-2.7,-1.6,+1.1
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_0GHz,60,50,+1.8,-4.1,-5.9,-0.3,-2.1,-1.9
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_3GHz,60,50,+1.7,-1.3,-3.0,-0.8,-0.4,+0.4
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_100,60,50,+0.0,-0.6,-0.6,+0.0,-0.1,-0.1
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_30,60,50,+0.6,+1.2,+0.6,+0.1,+0.4,+0.3
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_40,60,50,+0.9,+1.9,+1.1,+0.2,+2.0,+1.9
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_50,60,50,+1.5,+0.2,-1.3,+0.4,+0.2,-0.2
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_60,60,50,+1.0,-0.3,-1.3,+0.5,+0.2,-0.3
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_70,60,50,+0.0,+1.7,+1.6,+0.3,+1.0,+0.6
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_80,60,50,+1.3,+1.1,-0.2,+1.3,+0.9,-0.4
cpu-dgemm,DRAM_POWER_LIMIT_CONTROL,rb_90,60,50,-1.9,+0.6,+2.4,-1.6,+0.1,+1.8
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,60,50,-14.0,-13.4,+0.6,+0.0,-0.2,-0.2
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,60,50,-10.0,-12.5,-2.5,+1.2,+0.1,-1.1
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,60,50,-8.8,-12.1,-3.3,+1.5,+0.3,-1.2
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,60,50,-5.7,-12.0,-6.3,+1.5,-0.6,-2.1
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,-5.7,-8.7,-2.9,+0.9,+0.7,-0.2
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,60,50,-6.1,-8.3,-2.2,-0.8,-1.3,-0.5
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,-6.3,-13.3,-7.1,+1.5,-1.5,-3.0
cpu-dgemm,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,-1.3,+0.5,+1.8,-1.1,+0.9,+2.0
cpu-dgemm,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,-1.9,+0.1,+2.0,-2.2,+0.3,+2.5
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,60,50,+1.7,+1.1,-0.6,+1.9,+1.1,-0.8
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,60,50,+1.6,-0.2,-1.9,+1.3,-0.2,-1.5
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,60,50,+3.0,-0.7,-3.7,+1.7,-0.4,-2.1
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,60,50,+2.8,-0.4,-3.2,+2.0,-0.0,-2.0
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,60,50,+0.3,-1.2,-1.6,+1.4,+1.3,-0.2
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,60,50,-6.5,-7.0,-0.5,+0.6,+0.1,-0.5
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,60,50,-11.1,-12.6,-1.5,+1.2,+0.4,-0.8
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_2000W,60,50,+96.1,+83.4,-12.8,+272.1,+229.0,-43.0
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_2500W,60,50,-0.9,+17.1,+17.9,+85.4,+87.3,+1.9
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_3000W,60,50,-18.5,+3.8,+22.3,+43.8,+44.1,+0.3
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_3500W,60,50,-12.8,+0.1,+12.9,+17.9,+18.8,+0.9
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_4000W,60,50,-2.4,-0.1,+2.3,-0.2,-0.0,+0.2
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_4500W,60,50,-1.8,+0.0,+1.8,-0.4,-0.1,+0.3
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_5000W,60,50,-1.6,+0.1,+1.7,-0.4,-0.1,+0.3
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_5500W,60,50,-1.6,+0.1,+1.7,-0.3,+0.1,+0.4
dgemm-gpu,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,-0.1,+0.1,+0.1,+0.0,-0.1,-0.2
dgemm-gpu,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,-0.0,-0.0,+0.0,-0.1,+0.0,+0.1
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,60,50,-34.5,-13.8,+20.7,-0.1,+0.1,+0.2
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,-28.4,-12.0,+16.4,-0.0,+0.1,+0.1
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,-20.5,-9.6,+10.9,-0.0,-0.0,+0.0
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,60,50,-8.7,-2.9,+5.8,+0.2,-0.0,-0.2
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,60,50,-4.8,-1.6,+3.2,-0.0,+0.1,+0.1
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,60,50,-2.0,-0.8,+1.2,-0.1,+0.1,+0.2
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,60,50,-0.1,+0.0,+0.1,+0.1,+0.1,-0.0
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_100,60,50,-0.2,+0.0,+0.2,-0.2,-0.1,+0.0
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_30,60,50,-100.0,-50.0,+50.0,+0.0,+0.1,+0.1
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_40,60,50,-100.0,-50.3,+49.7,-0.1,-0.0,+0.1
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_50,60,50,-8.9,-6.0,+3.0,-0.0,-0.0,+0.0
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_60,60,50,-2.6,-2.8,-0.2,-0.2,+0.0,+0.2
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_70,60,50,-1.1,-0.8,+0.3,-0.1,+0.0,+0.2
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_80,60,50,-0.2,-0.1,+0.1,-0.1,-0.1,+0.0
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_90,60,50,-0.0,+0.0,+0.0,-0.1,-0.0,+0.1
dgemm-gpu,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,-0.3,-0.1,+0.2,-0.3,-0.1,+0.2
dgemm-gpu,CPU_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,-0.4,-0.0,+0.4,-0.3,-0.2,+0.1
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,60,50,-6.0,-4.9,+1.1,-0.0,-0.1,-0.1
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,-4.8,-3.9,+0.9,-0.2,-0.1,+0.1
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,-3.6,-2.9,+0.7,-0.2,-0.1,+0.1
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_0GHz,60,50,-1.7,-1.4,+0.3,-0.2,-0.0,+0.2
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_3GHz,60,50,-0.4,-0.0,+0.3,-0.2,-0.1,+0.1
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_100,60,50,-0.3,-0.0,+0.3,-0.0,-0.0,+0.0
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_30,60,50,-0.2,-0.0,+0.2,-0.1,-0.1,+0.0
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_40,60,50,-0.3,+0.0,+0.3,-0.0,-0.1,-0.1
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_50,60,50,-0.2,+0.0,+0.2,-0.0,-0.1,-0.1
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_60,60,50,-0.3,+0.0,+0.3,-0.0,-0.1,-0.1
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_70,60,50,-0.3,+0.1,+0.3,-0.0,-0.1,-0.1
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_80,60,50,-0.2,+0.0,+0.2,-0.1,-0.0,+0.1
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_90,60,50,-0.3,-0.1,+0.2,-0.1,-0.1,-0.0
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_4GHz,60,50,+91.9,+79.6,-12.3,+209.7,+209.9,+0.2
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_6GHz,60,50,+46.0,+39.3,-6.6,+113.1,+115.1,+2.0
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,60,50,+25.3,+20.8,-4.5,+66.0,+67.4,+1.4
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,60,50,+8.3,+5.7,-2.6,+24.9,+25.1,+0.2
